,koi_pdisposition,koi_impact,koi_duration,koi_depth,koi_ror,koi_srho,koi_prad,koi_teq,koi_insol,koi_dor,koi_num_transits,koi_steff,koi_slogg,koi_srad,koi_smass
4972,0,0.5357,11.555,370870.0,0.628464,0.93885,66.71,484.0,13.01,47.989,385.00676798860127,5458.0,4.381,0.972,0.828
4973,0,0.518,5.85519,387900.0,0.645438,0.28491,90.92,1905.0,3110.42,3.23855,320.0,6327.0,4.315,1.29,1.257
4974,0,15.329,4.0116,110920.0,14.708329,33.23987,1668.79,1191.0,475.36,30.7,279.0,6022.0,4.453,1.039,1.116
4975,1,0.951,1.4346,1175.0,0.041382,1.69524,2.58,583.0,27.35,17.43,135.0,4402.0,4.6819999999999995,0.572,0.575
4976,1,0.176,3.389,353.9,0.017052,2.43445,1.56,725.0,65.16,25.22,120.0,5552.0,4.562,0.836,0.931
4977,0,1.274,3.7889,1685.8,0.317936,0.06765,40.17,978.0,216.57,7.56,125.0,6553.0,4.3660000000000005,1.157,1.136
4978,0,0.924,5.0403,1456.9,0.042171,0.08256000000000001,5.33,978.0,216.57,8.08,123.0,6553.0,4.3660000000000005,1.157,1.136
4979,1,0.954,3.602,456.3,0.025021,0.22111999999999998,2.55,638.0,39.2,18.43,60.0,5712.0,4.382,0.932,0.763
4980,1,0.656,4.898,70.4,0.008108,0.29053,0.84,923.0,171.51,10.72,143.0,6168.0,4.452,0.947,0.925
4981,1,0.167,7.043,231.3,0.013766999999999998,0.40099,2.09,821.0,107.25,18.0,80.0,5626.0,4.149,1.389,0.991
4982,1,0.917,1.6162,8512.0,0.108646,12.9281,12.68,658.0,44.22,79.0,39.0,6194.0,4.445,1.069,1.161
4983,1,0.763,3.174,338.3,0.018524000000000002,1.3571600000000001,3.65,801.0,97.43,27.2,80.0,4807.0,3.906,1.802,0.955
4984,1,1.213,1.778,310.8,0.231298,0.06295,10.61,558.0,22.83,3.46,336.0,3638.0,4.843999999999999,0.42,0.45
4985,0,0.929,7.07603,130460.0,0.506988,1.9754599999999998,57.08,536.0,19.46,63.582,21.0,6241.0,4.45,1.031,1.088
4986,1,0.181,1.383,192.5,0.012726000000000001,19.96947,1.14,901.0,156.27,34.8,213.0,5749.0,4.5680000000000005,0.818,0.907
4987,1,0.036,4.652,246.0,0.014211000000000001,1.0428899999999999,1.15,671.0,47.91,19.88,91.0,5469.0,4.611000000000001,0.738,0.826
4988,1,0.25,10.79,135.7,0.010568000000000001,0.20647,3.68,902.0,156.74,22.69,39.0,5527.0,3.627,3.192,1.574
4989,1,0.802,5.467,179.2,0.013624,0.18991,1.91,821.0,107.44,13.31,88.0,5726.0,4.228,1.285,1.018
4990,1,0.027,8.664,283.2,0.015333000000000001,1.11638,2.08,474.0,11.96,73.7,18.0,5997.0,4.303999999999999,1.242,1.135
4991,1,0.01,10.393,655.7,0.02339,0.68214,4.17,537.0,19.59,63.72,11.0,6085.0,4.115,1.634,1.271
4992,0,0.732,5.02374,250030.0,0.58683,0.2579,76.26,2412.0,7996.1,1.9809,1378.0,6592.0,4.369,1.19,1.211
4993,0,0.944,17.8951,72792.0,0.37945,0.15175999999999998,44.0,435.0,8.47,43.4912,13.0,6309.0,4.413,1.062,1.058
4994,0,0.845,8.2904,192900.0,0.567504,4.10773,41.71,291.0,1.7,146.7,10.0,5294.0,4.651,0.673,0.744
4995,0,0.507,3.3727,225590.0,0.454191,0.91799,35.12,1182.0,460.09,4.9031,731.0,4868.0,4.582,0.708,0.7
4996,0,1.107,5.9626,169660.0,0.730483,0.28124,76.02,1242.0,563.22,4.694,435.0,5639.0,4.5089999999999995,0.953,1.071
4997,0,0.294,8.73607,218070.0,0.43804899999999997,0.30811,54.24,1033.0,268.95,10.6784,21.0,6444.0,4.382,1.134,1.128
4998,0,0.523,31.8273,242410.0,0.47976599999999997,0.07811,129.04,692.0,54.2,37.379,13.0,7426.0,3.903,2.463,1.769
4999,1,0.769,8.42,208.4,0.014450999999999999,0.11159000000000001,2.13,700.0,56.79,16.3,52.0,5775.0,4.1930000000000005,1.352,1.038
5000,1,0.495,6.684,115.5,0.010036,0.22364,1.48,930.0,176.97,11.64,112.0,5775.0,4.1930000000000005,1.352,1.038
5001,0,0.336,18.3609,205990.0,0.42552700000000004,0.1539,44.7,542.0,20.46,24.4549,26.0,6153.0,4.487,0.962,1.036
5002,1,0.029,2.813,620.0,0.022432,33.673359999999995,2.89,439.0,8.78,231.1,17.0,5538.0,4.266,1.18,0.937
5003,0,0.735105477665469,3.85,23791.335898271933,0.28364628616454785,9.164413809369266,102.89177806760141,1085.3858276274318,7745.737022611685,76.73633334039822,148.0,5706.8232800782525,4.310156613411579,1.7287115530920585,1.0237061189001175
5004,1,0.118,3.409,267.6,0.014750999999999998,2.5314900000000002,1.88,841.0,118.5,26.22,113.0,5533.0,4.275,1.166,0.934
5005,0,0.949,1.96698,67898.0,0.382756,30.49176,22.32,330.0,2.82,105.55,25.0,3900.0,4.727,0.534,0.555
5006,1,0.96,5.068,96.9,0.011751000000000001,0.032639999999999995,1.77,874.0,137.91,7.3,87.0,5831.0,4.162,1.382,1.011
5007,1,0.698,8.518,212.7,0.014222,0.06533,1.25,703.0,57.62,7.84,114.0,5559.0,4.578,0.803,0.899
5008,1,0.965,13.31,767.8,0.033382999999999996,0.01556,3.85,443.0,9.1,18.15,12.0,5922.0,4.349,1.057,0.911
5009,0,0.973,29.1701,410.3,0.025106,0.00037,2.66,790.0,92.32,1.4454420000000001,112.0,5952.0,4.489,0.971,1.057
